,accept,event_type,id,label,reject,text,total
0,1,ASSAULT,AAW_ARB_20071026.0026-2,difficult no,2,وقال الضابط في الشرطة المحلية خالد منصور، ان الاعتداء وقع في اطراف منغورا أكبر مدن اقليم سوات السياحي، علما أن الحكومة الباكستانية أرسلت امس ألفي جندي اضافيين الى وادي سوات، الذي يرتاده السياح بكثافة، على خلفية تكثيف المقاتلين الاسلاميين هجماتهم منذ اشهر.,3
1,0,ASSAULT,AAW_ARB_20080913.0007-59,easy no,3,* هل تستخدم في اجهزتكم الامنية اية وسائل تعذيب لانتزاع الاعترافات من المعتقلين؟,3
2,1,ASSAULT,AAW_ARB_20081011.0036-10,difficult no,2,وأشارت أسماء الموسوي الى «ان مسلسل الاغتيالات بحق أتباع التيار الصدري بدأ منذ ما يقارب العام في محافظات العراق.,3
3,0,ASSAULT,AAW_ARB_20070906.0027-2,easy no,3,من جهة اخرى، قالت الشرطة انها أغلقت 20 محل حلاقة للرجال في طهران الأسبوع الماضي لأنها تعرض قص وتصفيف الشعر بطريقة غير ملائمة، ومنعت النساء من ركوب الدراجات الهوائية في اماكن كثيرة، بينما يتواصل الهجوم على الحريات الاجتماعية.,3
4,0,ASSAULT,AAW_ARB_20080227.0111-1,easy no,3,ثم هل كان حزب الله يتوقع من اسرائيل وأميركا الا تعمل على اغتيال قيادي الحزب عماد مغنية، وغيره من قيادات احزاب المقاومة اللبنانية والفلسطينية؟,3
5,1,ASSAULT,AAW_ARB_20070117.0067-1,difficult no,2,نفت الشرطة النمساوية أمس خبر انتحار طالبة نمساوية ظهر في بعض الصحف اليومية، مع صورة لها تبدو متدلية من فرع شجرة كالمشنوقة، بينما يميل رأسها كالميتة.,3
6,2,ASSAULT,AAW_ARB_20071222.0001-3,difficult no,2,وقال كمال شاه ضابط في الشرطة انه تأكد ان الحادث وقع بعد تفجير انتحاري كان واقفا في الصف الثاني في الجامع نفسه وهو على مسافة قريبة من وزير الداخلية السابق الذي كان واقفا في الصف الاول يؤدي صلاة العيد.,4
7,0,ASSAULT,AAW_ARB_20070425.0026-8,easy no,3,وكانت مصادر فلسطينية مطلعة قد اكدت أن أحد أسباب تقديم القواسمي استقالته رفضه تعديلات على الخطة الامنية تقدم بها ابو مازن تتعلق بالعمل على وقف اطلاق الصواريخ.,3
8,0,ASSAULT,AAW_ARB_20071106.0087-4,easy no,3,وقد يكون الجنرال مشرف لم يكن يخطط لهذا الطريق او الخيار الذي احتفظ به للنهاية بينما الاحداث تتفجر الواحدة بعد الأخرى لكنه كان اسير هذا الطريق بعدم توسيعه هامش تحالفاته مع القوى السياسية الداخلية وإصراره على الجمع بين الرئاسة وقيادة الجيش بينما البلاد تصل الى مرحلة الاحتقان.,3
9,0,ASSAULT,AAW_ARB_20081031.0068-55,easy no,3,عين الصفع وحاء اللفح وضاء الضرب او ضاد الضراوة.,3
