,accept,event_type,id,label,reject,text,total
0,0,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d8c18e241e5ab40ae1ed12d3f9e3ae0c812da1cebb5b30dd9c97a4e6b23627af08e084750964af506dbbdbe3d9a54c83c04194197421b154d1e3bb6476400f13f5ae3ce22735f1db59cc2be64e8dd5b5ad59fa9d85c17e05938c1e4f0f161684ab_36,easy no,5,فلا يفكرن أحد بالتقريب بين شمال وجنوب ولا بالسعي للعودة إلى رابطة فيدرالية تجمع بينهما هذه المرة على أساس المصالح المشتركة، أو ببذل جهد لتسوية النزاعات القابلة للانفجار حول دارفور، وأبيي، وحقول النفط العابرة للحدود، والمديونية، والمليون ونصف المليون من الجنوبيين الساكنين في الشمال وغيرها.,5
1,1,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d8c18e241e5ab40ae168a207c7fd27488a14592f3bbe3e6e126915aa73370c233a7eefdab35cf897182b0696bd40b2257aee1b3614c356d604bb04b387a86669c5b7f57c997a7371a1b247d66b2ee84f1df6307254f618684c9fd66098033ca885_32,difficult no,4,زراء المعارضة لا يعني بالضرورة انسداد أفق الحل.,5
2,5,PROTEST,e6874d82b9c4d010348e7713f3214371c0e9c5443e48b7f78f572ea79ea2e0b4487406ca60fda58e92ee3ae466d7f77c3e0777764138a8c19fef7484104d5f14e981dca6c23f80be4541192f3fc6f337b400d3210f640d783ab6446ecaa6689227474abbe661717221679bf6de09273f6261a7947c4ad2681063c9b79b7d2e537eadb6c2dc69af6b_38,yes,0,المرحلة الثالثة: مرحلة العمليات المسلحة ، والتي لم تؤثر على صورة الانتفاضة باعتبارها مواجهات جماهيرية شاملة.,5
3,0,PROTEST,e6874d82b9c4d010348e7713f3214371c0e9c5443e48b7f78f572ea79ea2e0b4487406ca60fda58e92ee3ae466d7f77c85fd3876875bdd1f1349380756431bb6aa16e4a52882030fd88325f47fcdb256e98acc767133ad543c60e6459f981b188759ce4b2141f19f461e893147f33ce6650d489249d385fe1abf1cd144d0457f21d5756dedd150c8_42,easy no,5,"اوقعت القرعة ""الاخضر"" في المجموعة الرابعة فتصدر ترتيبها برصيد 7 نقاط امام كوريا الجنوبية (4) واندونيسيا (3) والبحرين (3).",5
4,5,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d8c18e241e5ab40ae168a207c7fd27488a14592f3bbe3e6e12bb66f662e6774776d98a123d93477d59fe3d021ba22a0133d15a5182ba7ae3554a94831037c0e4966e6f266c1021e33eff79720479fa67a71a32813388fe8cccfb31bdc16dfb23a1_5,yes,0,ومن أجل ذلك، لم يتورع أحد التونسيين الشباب عن احراق نفسه احتجاجاً على الظلم وتجاهل المطالب الشعبية المحقة.,5
5,0,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d89aa86111c94aa0382fd89d25366fb7b5003bb17ca04ffb350c66fdc01194074fccdf02051fc2b8f882d3e59ef74b93483098f17359611e981c171992ebf6c3737e068ef0bb286c612d15831ed1986ff0a796430a2bb4df85028a345c2102e0b1_60,easy no,7,والنثر الفني عند الرافعي ونثر أبو الفرج الببغا ورسائل ابن عربي ونشيد الإنشاد لسليمان من الكتاب المقدّس ونماذج مترجمة كترجمة خليل مطران مسرحية عطيل لشكسبير ونماذج لنسيب عريضة وأمين الريحاني وأحمد زكي أبو شادي وجبران خليل جبران وميخائيل نعيمة وأبو القاسم الشابي وأحمد شوقي... والاستدلال بنصوص معاصرة من الشعر المنثور لمحمود درويش ومحمد بنيس... فاتضح لنا مستوى هيمنة بعض القيم الفنية الجمالية في مرحلة التحديث الشعري أي مرحلة انتشار الشعر المنثور.,7
6,0,PROTEST,e6874d82b9c4d010348e7713f3214371c0e9c5443e48b7f78f572ea79ea2e0b4487406ca60fda58ed42f4cc714e0beb8b03d16f038ffb48ae4e1f3843dfea6b1be0a7994b47f2b4f3ce3044f1bcd1f2dee99397d1c78a70472ca4cd8be73ee81c92d01507033dae43d1c9c74ba3e8c18d8de099b9cb2c466fb544e7fe8ba4aec540c6521931685b0_4,easy no,5,في كل هذه الحالات كان الغرب بقيادة الولايات المتحدة هو المساند الأكبر للبرنامج الإسرائيلي ، وقد كشفت لنا وثائق ويكيليكس الكثير من الوقائع التي تثبت حقيقة الفهم الرسمي العربي للعلاقة مع الكيان الصهيوني ، إلى جانب العلاقة مع السلطة الفلسطينية ومنظمة التحريرمقابل العلاقة مع حركة حماس وقوى المقاومة.,5
7,0,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d87079cb2e4560976f2538ee511f4ad0d1d97b344e2a0e49c22b731aaa2242a6e0c8df4da79d86e0886d30bef2e7640aa135fa75f8b139dcbb6930d7fa51e521b88e90d55b40bfd28f73d6a45dd505206b1ef18ab353c9913d6c9e58ecf55429c3_58,easy no,5,لأننا عندما اعتقلنا هؤلاء الاشخاص بدأوا يعترفون بأسماء بعضهم البعض، وقال أحدهم: «ان باقي المتفجرات موجود في الحديقة، لقد وضعته زوجتي في الحديقة»، فما كان منا إلاّ الذهاب والحفر في الحديقة والعثور على المتفجرات، لذلك اعتقلنا الزوجة أيضاً، وهي بدورها اعترفت بأسماء زوجة أخرى، ووجدنا متفجرات أخرى، واعتقلنا الزوجة هناك ايضاً.,5
8,0,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d8c18e241e5ab40ae15dcafa0728c19456e041044baa125c995b4691328bdf80fa9f3821bbcbb4e81446bdf828e5e2d3179ef5d8267935507849cefa1977e5723e6d1061a09de89e17c80bc669c05024d75c2addf4483a21d2cdf3c64a4a3bdcd7_14,easy no,4,وقبل نهاية الشوط الأول بثلاث دقائق، فاجأ بهاء عبد الرحمن مرمى وليد عبدالله بكرة من الجهة اليمنى بدت بين تمريرة أكثر منها تسديدة لكن كرته ارتفعت فوق الحارس الذي خرج للتصدي لها فخدعته واستقرت في الزاوية اليسرى للمرمى مسجلاً هدف التقدم للاردن (42).,4
9,0,PROTEST,e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d87079cb2e4560976f2538ee511f4ad0d1d97b344e2a0e49c265003e108b20efc439ca460d26ed429404006a1d893e4c5746991804542924eec41d6a256ccf5e8f7aa25b4d525a350221e656c8afdf7ec634e5c376f7c1020f5afe227848784bd0_27,easy no,6,هو الاسم الوحيد الذي لم يتوقع أحد له أن يصوّت لمرشح المعارضة.,6
